team,total_xG,setpiece_xG,SetPiece_Dependency_%
Arsenal,83.98236520495266,30.095831130631268,35.84
Aston Villa,61.45454063033685,16.820045828819275,27.37
Bournemouth,69.6900640791282,17.88729279395193,25.67
Brentford,68.61635391414165,21.253248000517488,30.97
Brighton,59.64199861511588,15.234328018501401,25.54
Burnley,40.26709654601291,11.70159747544676,29.06
Chelsea,74.51736428495497,22.38888872321695,30.05
Crystal Palace,63.90243289107457,20.40704472269863,31.93
Everton,52.55225136131048,15.554749022237957,29.6
Fulham,54.426696316339076,16.178852220997214,29.73
Leeds,62.992405633442104,20.73020330350846,32.91
Liverpool,69.80426871683449,13.110881871543825,18.78
Manchester City,84.15983603708446,16.95622480008751,20.15
Manchester United,77.24856752110645,20.51546417362988,26.56
Newcastle United,63.07653620233759,24.17731070984155,38.33
Nottingham Forest,50.1649856409058,13.140617657452822,26.19
Sunderland,47.55227441061288,13.165043459273875,27.69
Tottenham,48.93492262158543,15.43518358655274,31.54
West Ham,52.23384490655735,19.12741182791069,36.62
Wolverhampton Wanderers,39.6657939106226,17.064342765137553,43.02
